_PARTIES	Democratic	Republican	Total
_COLORS	Blue	Red
Alabama	849624	1441170	2323282
Alaska	153778	189951	359530
Arizona	1672143	1661686	3387326
Arkansas	423932	760647	1219069
California	11110250	6006429	17500871
Colorado	1804352	1364607	3256980
Connecticut	1080680	715291	1824273
Delaware	296268	200603	504346
District of Columbia	317323	18586	344356
Florida	5297045	5668731	11067456
Georgia	2473633	2461854	4997716
Hawaii	366130	196864	574469
Idaho	287021	554119	867884
Illinois	3471915	2446891	6033744
Indiana	1242413	1729516	3033112
Iowa	759061	897672	1690871
Kansas	570323	771406	1372303
Kentucky	772474	1326646	2136768
Louisiana	856034	1255776	2148062
Maine	435072	360737	819461
Maryland	1985023	976414	3037030
Massachusetts	2382202	1167202	3631402
Michigan	2804040	2649852	5539302
Minnesota	1717077	1484065	3277171
Mississippi	539508	756789	1313894
Missouri	1253014	1718736	3025962
Montana	244786	343602	603674
Nebraska	374583	556846	956383
Nevada	703486	669890	1405376
New Hampshire	424921	365654	806182
New Jersey	2608335	1883274	4549353
New Mexico	501614	401894	923965
New York	5230985	3244798	8594826
North Carolina	2684292	2758775	5524804
North Dakota	114902	235595	361819
Ohio	2679165	3154834	5922202
Oklahoma	503890	1020280	1560699
Oregon	1340383	958448	2374321
Pennsylvania	3458229	3377674	6915283
Rhode Island	307486	199922	517757
South Carolina	1091541	1385103	2513329
South Dakota	150471	261043	422609
Tennessee	1143711	1852475	3053851
Texas	5259126	5890347	11315056
Utah	560282	865140	1488289
Vermont	242820	112704	367428
Virginia	2413568	1962430	4460524
Washington	2369612	1584651	4087631
West Virginia	235984	545382	794731
Wisconsin	1630866	1610184	3298041
Wyoming	73491	193559	276765
