State	Democratic/Blue	Republican/Red	Total
Alabama	693933	1176394	1883449
Alaska	111025	190889	312598
Arizona	893524	1104294	2012585
Arkansas	469953	572898	1054945
California	6745485	5509826	12421353
Colorado	1001732	1101255	2130330
Connecticut	857488	693826	1578769
Delaware	200152	171660	375190
District of Columbia	202970	21256	227586
Florida	3583544	3964522	7609810
Georgia	1366149	1914254	3301875
Hawaii	231708	194191	429013
Idaho	181098	409235	598447
Illinois	2891550	2345946	5274322
Indiana	969011	1479438	2468002
Iowa	741898	751957	1506908
Kansas	434993	736456	1187756
Kentucky	712733	1069439	1795882
Louisiana	820299	1102169	1943106
Maine	396842	330201	740752
Maryland	1334493	1024703	2386678
Massachusetts	1803800	1071109	2912388
Michigan	2479183	2313746	4839252
Minnesota	1445014	1346695	2828387
Mississippi	458094	684981	1152145
Missouri	1259171	1455713	2731364
Montana	173710	266063	450445
Nebraska	254328	512814	778186
Nevada	397190	418690	829587
New Hampshire	340511	331237	677738
New Jersey	1911430	1670003	3611691
New Mexico	370942	376930	756304
New York	4314280	2962567	7391036
North Carolina	1525849	1961166	3501007
North Dakota	111052	196651	312833
Ohio	2741167	2859768	5627908
Oklahoma	503966	959792	1463758
Oregon	943163	866831	1836782
Pennsylvania	2938095	2793847	5769590
Rhode Island	259765	169046	437134
South Carolina	661699	937974	1617730
South Dakota	149244	232584	388215
Tennessee	1036477	1384375	2437319
Texas	2832704	4526917	7410765
Utah	241199	663742	927844
Vermont	184067	121180	312309
Virginia	1454742	1716959	3198367
Washington	1510201	1304894	2859084
West Virginia	326541	423778	755887
Wisconsin	1489504	1478120	2997007
Wyoming	70776	167629	243428
